[Date],[Time],[Device],[Temperature],[TemperatureFast],[Unit]
2023-07-21,12:32:46:447,SPOT,552.4,-,C
2023-07-21,12:32:46:345,SPOT,552.4,552.4,C
2023-07-21,12:32:46:445,SPOT,552.4,552.7,C
2023-07-21,12:32:47:447,SPOT,554.9,-,C
2023-07-21,12:32:46:996,SPOT,554.9,554.7,C
2023-07-21,12:32:47:096,SPOT,554.9,554.7,C
2023-07-21,12:32:47:196,SPOT,554.9,554.9,C
2023-07-21,12:32:48:447,SPOT,555.3,-,C
2023-07-21,12:32:48:007,SPOT,555.3,555.5,C
2023-07-21,12:32:48:107,SPOT,555.3,555.3,C
2023-07-21,12:32:48:207,SPOT,555.3,555.3,C
2023-07-21,12:32:49:446,SPOT,555.7,-,C
2023-07-21,12:32:49:125,SPOT,555.7,556,C
2023-07-21,12:32:49:225,SPOT,555.7,555.7,C
2023-07-21,12:32:50:446,SPOT,554.5,-,C
2023-07-21,12:32:50:126,SPOT,554.5,554.3,C
2023-07-21,12:32:50:226,SPOT,554.5,554.5,C
2023-07-21,12:32:51:446,SPOT,556.6,-,C
2023-07-21,12:32:51:128,SPOT,556.6,556.3,C
2023-07-21,12:32:51:228,SPOT,556.6,556.6,C
2023-07-21,12:32:52:446,SPOT,557.3,-,C
2023-07-21,12:32:52:134,SPOT,557.3,557.4,C
2023-07-21,12:32:52:234,SPOT,557.3,557.3,C
2023-07-21,12:32:53:446,SPOT,556.7,-,C
2023-07-21,12:32:53:130,SPOT,556.7,556.6,C
2023-07-21,12:32:53:230,SPOT,556.7,556.7,C
2023-07-21,12:32:54:446,SPOT,556.3,-,C
2023-07-21,12:32:54:131,SPOT,556.3,556,C
2023-07-21,12:32:54:231,SPOT,556.3,556.3,C
2023-07-21,12:32:55:447,SPOT,556.5,-,C
2023-07-21,12:32:55:146,SPOT,556.5,556.1,C
2023-07-21,12:32:55:246,SPOT,556.5,556.5,C
2023-07-21,12:32:56:447,SPOT,555.1,-,C
2023-07-21,12:32:56:157,SPOT,555.1,555.1,C
2023-07-21,12:32:56:257,SPOT,555.1,555.1,C
2023-07-21,12:32:57:447,SPOT,555.1,-,C
2023-07-21,12:32:57:157,SPOT,555.1,555.5,C
2023-07-21,12:32:57:257,SPOT,555.1,555.1,C
2023-07-21,12:32:58:447,SPOT,555.6,-,C
2023-07-21,12:32:58:157,SPOT,555.6,556.3,C
2023-07-21,12:32:58:257,SPOT,555.6,555.6,C
2023-07-21,12:32:59:447,SPOT,556,-,C
2023-07-21,12:32:59:062,SPOT,556,555.7,C
2023-07-21,12:32:59:162,SPOT,556,556.1,C
2023-07-21,12:32:59:262,SPOT,556,556,C
2023-07-21,12:33:00:447,SPOT,556.6,-,C
2023-07-21,12:33:00:062,SPOT,556.6,556.3,C
2023-07-21,12:33:00:162,SPOT,556.6,556.6,C
2023-07-21,12:33:00:262,SPOT,556.6,556.6,C
2023-07-21,12:33:01:447,SPOT,556.1,-,C
2023-07-21,12:33:01:065,SPOT,556.1,556.3,C
2023-07-21,12:33:01:165,SPOT,556.1,556.1,C
2023-07-21,12:33:01:265,SPOT,556.1,556.1,C
2023-07-21,12:33:02:447,SPOT,556.3,-,C
2023-07-21,12:33:02:064,SPOT,556.3,555.4,C
2023-07-21,12:33:02:164,SPOT,556.3,555.7,C
2023-07-21,12:33:02:264,SPOT,556.3,556.3,C
2023-07-21,12:33:03:447,SPOT,557.6,-,C
2023-07-21,12:33:03:067,SPOT,557.6,557.5,C
2023-07-21,12:33:03:167,SPOT,557.6,557.8,C
2023-07-21,12:33:03:267,SPOT,557.6,557.6,C
2023-07-21,12:33:04:447,SPOT,557.7,-,C
2023-07-21,12:33:04:072,SPOT,557.7,557.4,C
2023-07-21,12:33:04:172,SPOT,557.7,557,C
2023-07-21,12:33:04:272,SPOT,557.7,557.7,C
2023-07-21,12:33:05:447,SPOT,558.8,-,C
2023-07-21,12:33:05:072,SPOT,558.8,558.3,C
2023-07-21,12:33:05:172,SPOT,558.8,558.6,C
2023-07-21,12:33:05:272,SPOT,558.8,558.8,C
2023-07-21,12:33:06:446,SPOT,559.1,-,C
2023-07-21,12:33:06:071,SPOT,559.1,558.7,C
2023-07-21,12:33:06:171,SPOT,559.1,558.7,C
2023-07-21,12:33:06:271,SPOT,559.1,559.1,C
2023-07-21,12:33:07:446,SPOT,557.1,-,C
2023-07-21,12:33:07:071,SPOT,557.1,557,C
2023-07-21,12:33:07:171,SPOT,557.1,557,C
2023-07-21,12:33:07:271,SPOT,557.1,557.1,C
2023-07-21,12:33:08:446,SPOT,556.1,-,C
2023-07-21,12:33:08:072,SPOT,556.1,556,C
2023-07-21,12:33:08:172,SPOT,556.1,556.1,C
2023-07-21,12:33:08:272,SPOT,556.1,556.1,C
2023-07-21,12:33:09:446,SPOT,557.2,-,C
2023-07-21,12:33:09:072,SPOT,557.2,556.5,C
2023-07-21,12:33:09:172,SPOT,557.2,557,C
2023-07-21,12:33:09:272,SPOT,557.2,557.2,C
2023-07-21,12:33:10:446,SPOT,556.9,-,C
2023-07-21,12:33:10:072,SPOT,556.9,557.1,C
2023-07-21,12:33:10:172,SPOT,556.9,556.9,C
2023-07-21,12:33:10:272,SPOT,556.9,556.9,C
2023-07-21,12:33:11:446,SPOT,556.9,-,C
2023-07-21,12:33:11:075,SPOT,556.9,557.3,C
2023-07-21,12:33:11:175,SPOT,556.9,556.9,C
2023-07-21,12:33:11:275,SPOT,556.9,556.9,C
2023-07-21,12:33:12:447,SPOT,557.9,-,C
2023-07-21,12:33:12:076,SPOT,557.9,557.9,C
2023-07-21,12:33:12:176,SPOT,557.9,558.1,C
2023-07-21,12:33:12:276,SPOT,557.9,557.9,C
2023-07-21,12:33:13:447,SPOT,558.5,-,C
2023-07-21,12:33:13:085,SPOT,558.5,558.4,C
2023-07-21,12:33:13:185,SPOT,558.5,558.2,C
2023-07-21,12:33:13:285,SPOT,558.5,558.5,C
2023-07-21,12:33:14:447,SPOT,559.4,-,C
2023-07-21,12:33:14:086,SPOT,559.4,559.5,C
2023-07-21,12:33:14:186,SPOT,559.4,559.4,C
2023-07-21,12:33:14:286,SPOT,559.4,559.4,C
2023-07-21,12:33:15:447,SPOT,557.8,-,C
2023-07-21,12:33:15:097,SPOT,557.8,558,C
2023-07-21,12:33:15:197,SPOT,557.8,558.1,C
2023-07-21,12:33:15:297,SPOT,557.8,557.8,C
2023-07-21,12:33:16:447,SPOT,558.7,-,C
2023-07-21,12:33:16:096,SPOT,558.7,558.6,C
2023-07-21,12:33:16:196,SPOT,558.7,558.8,C
2023-07-21,12:33:16:296,SPOT,558.7,558.7,C
2023-07-21,12:33:17:447,SPOT,559.9,-,C
2023-07-21,12:33:17:110,SPOT,559.9,559.7,C
2023-07-21,12:33:17:210,SPOT,559.9,559.5,C
2023-07-21,12:33:17:310,SPOT,559.9,559.9,C
2023-07-21,12:33:18:447,SPOT,559.6,-,C
2023-07-21,12:33:18:101,SPOT,559.6,559.3,C
2023-07-21,12:33:18:201,SPOT,559.6,559.3,C
2023-07-21,12:33:18:301,SPOT,559.6,559.6,C
2023-07-21,12:33:19:447,SPOT,558,-,C
2023-07-21,12:33:19:216,SPOT,558,557.6,C
2023-07-21,12:33:19:316,SPOT,558,558,C
2023-07-21,12:33:20:447,SPOT,559.1,-,C
2023-07-21,12:33:20:217,SPOT,559.1,559,C
2023-07-21,12:33:20:317,SPOT,559.1,559.1,C
2023-07-21,12:33:21:447,SPOT,559.6,-,C
2023-07-21,12:33:21:220,SPOT,559.6,559.1,C
2023-07-21,12:33:21:320,SPOT,559.6,559.6,C
2023-07-21,12:33:22:447,SPOT,560.1,-,C
2023-07-21,12:33:22:220,SPOT,560.1,560.1,C
2023-07-21,12:33:22:320,SPOT,560.1,560.1,C
2023-07-21,12:33:23:447,SPOT,558.6,-,C
2023-07-21,12:33:23:219,SPOT,558.6,558.9,C
2023-07-21,12:33:23:319,SPOT,558.6,558.6,C
2023-07-21,12:33:24:446,SPOT,558.3,-,C
2023-07-21,12:33:24:224,SPOT,558.3,558.2,C
2023-07-21,12:33:24:324,SPOT,558.3,558.3,C
2023-07-21,12:33:25:446,SPOT,557.6,-,C
2023-07-21,12:33:25:229,SPOT,557.6,557.1,C
2023-07-21,12:33:25:329,SPOT,557.6,557.6,C
2023-07-21,12:33:26:446,SPOT,558.8,-,C
2023-07-21,12:33:26:239,SPOT,558.8,558.9,C
2023-07-21,12:33:26:339,SPOT,558.8,558.8,C
2023-07-21,12:33:27:446,SPOT,558.2,-,C
2023-07-21,12:33:27:240,SPOT,558.2,558,C
2023-07-21,12:33:27:340,SPOT,558.2,558.2,C
2023-07-21,12:33:28:446,SPOT,556.3,-,C
2023-07-21,12:33:28:240,SPOT,556.3,557,C
2023-07-21,12:33:28:340,SPOT,556.3,556.3,C
2023-07-21,12:33:29:446,SPOT,556.2,-,C
2023-07-21,12:33:29:240,SPOT,556.2,556.3,C
2023-07-21,12:33:29:340,SPOT,556.2,556.2,C
2023-07-21,12:33:30:447,SPOT,556.8,-,C
2023-07-21,12:33:30:245,SPOT,556.8,557.3,C
2023-07-21,12:33:30:345,SPOT,556.8,556.8,C
2023-07-21,12:33:31:447,SPOT,557.3,-,C
2023-07-21,12:33:31:247,SPOT,557.3,557.2,C
2023-07-21,12:33:31:347,SPOT,557.3,557.3,C
2023-07-21,12:33:32:447,SPOT,557.4,-,C
2023-07-21,12:33:32:247,SPOT,557.4,557.2,C
2023-07-21,12:33:32:347,SPOT,557.4,557.4,C
2023-07-21,12:33:33:447,SPOT,558,-,C
2023-07-21,12:33:33:248,SPOT,558,557.4,C
2023-07-21,12:33:33:348,SPOT,558,558,C
2023-07-21,12:33:34:447,SPOT,558.7,-,C
2023-07-21,12:33:34:256,SPOT,558.7,559,C
2023-07-21,12:33:34:356,SPOT,558.7,558.7,C
2023-07-21,12:33:35:447,SPOT,557.7,-,C
2023-07-21,12:33:35:256,SPOT,557.7,557.8,C
2023-07-21,12:33:35:356,SPOT,557.7,557.7,C
2023-07-21,12:33:36:447,SPOT,556.3,-,C
2023-07-21,12:33:36:198,SPOT,556.3,556.9,C
2023-07-21,12:33:36:298,SPOT,556.3,556.8,C
